"animalID","year","observed","tagsex","firstobsmolt","lastobsmolt","season","firstobsbreed","lastobsbreed","numbreed","firstobsbreeddoy","lastobsmoltdoy","breeddur","tripdur","moltdur","pupID","pupsex","yearborn","age","pupyearborn","firstyearindicator","indices","pupseeneveragain","puprecruited"
10847,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,10,"NA","NA",NA,NA,NA
10848,1991,"1","F",NA,NA,NA,NA,NA,NA,NA,149,NA,NA,51,NA,NA,1988,3,"NA","NA",NA,NA,NA
10848,1992,"B","F","1991-04-08","1991-04-08",1992,"1992-01-20","1992-02-13",16,20,98,24,287.041666666667,0,12068,"M",1988,4,"1992","1993",29,0,0
10853,1991,"1","F",NA,NA,NA,NA,NA,NA,NA,149,NA,NA,72.9583333333333,NA,NA,1988,3,"NA","NA",NA,NA,NA
10853,1992,"B","F","1991-03-23","1991-04-04",1992,"1992-01-16","1992-02-09",21,16,94,24,287,12,11994,"M",1988,4,"1992","1993",29,0,0
10853,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12307,"M",1988,5,"1993","1994",30,0,0
10853,1994,"B","F","1993-05-09","1993-06-02",1994,"1994-01-24","1994-02-14",8,24,153,21,236.041666666667,24,12703,"F",1988,6,"1994","1995",31,0,0
10858,1992,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,3,"NA","NA",NA,NA,NA
10878,1989,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,4,"NA","NA",NA,NA,NA
10883,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12308,"M",1989,4,"1993","1994",30,0,0
10883,1994,"B","F","1993-05-05","1993-05-05",1994,"1994-02-11","1994-02-17",4,42,125,6,282.041666666667,0,12660,"F",1989,5,"1994","1995",31,0,0
10883,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,"NA","NA",NA,NA,NA
10883,2003,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,"NA","NA",NA,NA,NA
10898,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12567,"M",1989,5,"1994","1995",31,0,0
10898,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13647,"M",1989,6,"1995","1996",32,0,0
